Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
Podrías	buscar	1	1	1.0
buscar	una	1	1	1.0
una	calculadora	1	5	0.2
calculadora	de	1	1	1.0
de	ecuaciones	1	26	0.038461538461538464
ecuaciones	diferenciales	1	1	1.0
diferenciales	?	1	1	1.0
$	Uwu	1	428	0.002336448598130841
Uwu	#	1	1	1.0
$	Jajaja	1	428	0.002336448598130841
Jajaja	#	1	1	1.0
$	Al	1	428	0.002336448598130841
Al	final	1	1	1.0
final	no	1	1	1.0
no	fue	1	20	0.05
el	mismo	1	26	0.038461538461538464
mismo	examen	1	2	0.5
Bro	#	1	3	0.3333333333333333
$	POS	1	428	0.002336448598130841
POS	logré	1	1	1.0
logré	dos	1	1	1.0
dos	#	1	1	1.0
Me	reprobó	1	7	0.14285714285714285
reprobó	un	1	1	1.0
un	culero	1	6	0.16666666666666666
culero	ajaja	1	1	1.0
ajaja	#	1	1	1.0
Voy	a	1	4	0.25
a	checar	1	36	0.027777777777777776
checar	un	1	1	1.0
un	rato	1	6	0.16666666666666666
rato	en	1	4	0.25
$	Estás	1	428	0.002336448598130841
Estás	en	1	1	1.0
ando	en	1	6	0.16666666666666666
el	toreo	1	26	0.038461538461538464
toreo	jajaja	1	1	1.0
$	Orita	1	428	0.002336448598130841
Orita	te	1	1	1.0
te	diho	1	11	0.09090909090909091
diho	que	1	1	1.0
que	pedo	1	29	0.034482758620689655
pedo	#	1	3	0.3333333333333333
5	)	1	2	0.5
)	#	1	2	0.5
$	B	1	428	0.002336448598130841
B	)	1	1	1.0
)	la	1	2	0.5
la	integral	1	25	0.04
integral	creo	1	1	1.0
está	mal	1	3	0.3333333333333333
mal	xdd	1	2	0.5
$	Serial	1	428	0.002336448598130841
Serial	Experiments	1	1	1.0
Experiments	Lain	1	1	1.0
Lain	#	1	1	1.0
$	NieR	1	428	0.002336448598130841
NieR	:	1	1	1.0
:	Automata	1	15	0.06666666666666667
Automata	Ver1.1a	1	1	1.0
Ver1.1a	#	1	1	1.0
$	AnaLuz230665	1	428	0.002336448598130841
AnaLuz230665	#	1	1	1.0
$	Telmex	1	428	0.002336448598130841
Telmex	#	1	1	1.0
Deja	checo	1	2	0.5
checo	#	1	1	1.0
$	NoOooO	1	428	0.002336448598130841
NoOooO	#	1	1	1.0
$	De	1	428	0.002336448598130841
De	la	1	1	1.0
la	verga	1	25	0.04
verga	#	1	1	1.0
2	de	1	8	0.125
de	promedio	1	26	0.038461538461538464
promedio	#	1	1	1.0
$	Nomás	1	428	0.002336448598130841
Nomás	aparece	1	1	1.0
aparece	este	1	1	1.0
este	we	1	1	1.0
Haber	deja	1	2	0.5
deja	intento	1	3	0.3333333333333333
intento	con	1	1	1.0
con	el	1	7	0.14285714285714285
el	nombre	1	26	0.038461538461538464
nombre	#	1	1	1.0
Es	bueno	1	3	0.3333333333333333
bueno	#	1	1	1.0
Que	sus	1	8	0.125
sus	clases	1	1	1.0
clases	no	1	1	1.0
no	duran	1	20	0.05
duran	mucho	1	1	1.0
mucho	#	1	1	1.0
$	Échale	1	428	0.002336448598130841
Échale	ganas	1	1	1.0
ganas	#	1	1	1.0
$	mijo	1	428	0.002336448598130841
mijo	#	1	1	1.0
$	SMN	1	428	0.002336448598130841
SMN	#	1	1	1.0
$	1ra	1	428	0.002336448598130841
1ra	#	1	1	1.0
2	:	1	8	0.125
:	es	1	15	0.06666666666666667
es	la	1	4	0.25
4ta	#	1	2	0.5
$	respuesta	1	428	0.002336448598130841
respuesta	#	1	1	1.0
$	tengo	1	428	0.002336448598130841
tengo	mis	1	3	0.3333333333333333
mis	dudas	1	2	0.5
dudas	que	1	1	1.0
que	sea	1	29	0.034482758620689655
sea	la	1	1	1.0
4ta	o	1	2	0.5
o	3ra	1	4	0.25
3ra	#	1	1	1.0
Lo	vi	1	2	0.5
vi	en	1	2	0.5
en	otro	1	26	0.038461538461538464
otro	grupo	1	2	0.5
grupo	.	1	2	0.5
A	quien	1	7	0.14285714285714285
quien	le	1	1	1.0
le	interese	1	5	0.2
interese	.	1	1	1.0
$	☝	1	428	0.002336448598130841
☝	️	1	1	1.0
️	🤓	1	1	1.0
🤓	#	1	1	1.0
$	fgagsagha	1	428	0.002336448598130841
fgagsagha	#	1	1	1.0
courses	and	1	14	0.07142857142857142
and	traditional	1	18	0.05555555555555555
courses	both	1	14	0.07142857142857142
both	have	1	1	1.0
have	their	1	4	0.25
own	advantages	1	2	0.5
advantages	and	1	1	1.0
and	disadvantages	1	18	0.05555555555555555
disadvantages	,	1	1	1.0
$	and	1	428	0.002336448598130841
and	the	1	18	0.05555555555555555
the	choice	1	12	0.08333333333333333
choice	between	1	1	1.0
between	them	1	1	1.0
them	largely	1	2	0.5
largely	depends	1	1	1.0
depends	on	1	1	1.0
on	individual	1	7	0.14285714285714285
individual	preferences	1	1	1.0
preferences	and	1	1	1.0
and	circumstances	1	18	0.05555555555555555
circumstances	.	1	1	1.0
,	on	1	32	0.03125
on	the	1	7	0.14285714285714285
the	other	1	12	0.08333333333333333
other	hand	1	2	0.5
hand	,	1	1	1.0
,	offer	1	32	0.03125
offer	the	1	1	1.0
the	flexibility	1	12	0.08333333333333333
flexibility	to	1	1	1.0
to	study	1	13	0.07692307692307693
study	from	1	1	1.0
from	anywhere	1	2	0.5
anywhere	at	1	1	1.0
at	any	1	2	0.5
any	time	1	1	1.0
time	,	1	4	0.25
,	as	1	32	0.03125
as	long	1	5	0.2
long	as	1	2	0.5
as	there	1	5	0.2
there	is	1	2	0.5
is	an	1	1	1.0
an	internet	1	1	1.0
internet	connection	1	1	1.0
connection	.	1	1	1.0
$	This	1	428	0.002336448598130841
This	kind	1	1	1.0
kind	of	1	1	1.0
of	learning	1	8	0.125
learning	experience	1	1	1.0
experience	can	1	1	1.0
be	beneficial	1	6	0.16666666666666666
beneficial	for	1	1	1.0
students	who	1	5	0.2
who	are	1	2	0.5
are	self-motivated	1	1	1.0
self-motivated	,	1	1	1.0
,	prefer	1	32	0.03125
prefer	to	1	1	1.0
to	learn	1	13	0.07692307692307693
learn	at	1	1	1.0
at	their	1	2	0.5
own	pace	1	2	0.5
pace	,	1	1	1.0
and	have	1	18	0.05555555555555555
have	other	1	4	0.25
other	commitments	1	2	0.5
commitments	such	1	1	1.0
as	work	1	5	0.2
work	or	1	1	1.0
or	family	1	4	0.25
family	that	1	1	1.0
that	prevent	1	4	0.25
prevent	them	1	1	1.0
them	from	1	2	0.5
from	attending	1	2	0.5
attending	traditional	1	1	1.0
traditional	classes	1	9	0.1111111111111111
classes	.	1	1	1.0
courses	also	1	14	0.07142857142857142
also	often	1	3	0.3333333333333333
often	have	1	1	1.0
have	a	1	4	0.25
a	wider	1	36	0.027777777777777776
wider	range	1	1	1.0
range	of	1	1	1.0
of	course	1	8	0.125
course	offerings	1	1	1.0
offerings	and	1	1	1.0
and	can	1	18	0.05555555555555555
be	more	1	6	0.16666666666666666
more	cost-effective	1	4	0.25
cost-effective	than	1	1	1.0
than	traditional	1	1	1.0
courses	.	1	14	0.07142857142857142
$	dasdsa	1	428	0.002336448598130841
dasdsa	#	1	1	1.0
$	Bicycles	1	428	0.002336448598130841
Bicycles	can	1	1	1.0
be	a	1	6	0.16666666666666666
a	convenient	1	36	0.027777777777777776
convenient	and	1	1	1.0
and	eco-friendly	1	18	0.05555555555555555
eco-friendly	mode	1	1	1.0
mode	of	1	1	1.0
of	transportation	1	8	0.125
transportation	for	1	1	1.0
students	,	1	5	0.2
,	faculty	1	32	0.03125
faculty	,	1	1	1.0
and	staff	1	18	0.05555555555555555
staff	.	1	1	1.0
$	Banning	1	428	0.002336448598130841
Banning	bicycles	1	1	1.0
bicycles	could	1	4	0.25
could	lead	1	3	0.3333333333333333
lead	to	1	1	1.0
to	increased	1	13	0.07692307692307693
increased	traffic	1	1	1.0
traffic	congestion	1	1	1.0
congestion	on	1	1	1.0
campus	roads	1	3	0.3333333333333333
roads	,	1	1	1.0
,	which	1	32	0.03125
which	can	1	1	1.0
also	create	1	3	0.3333333333333333
create	safety	1	1	1.0
safety	hazards	1	2	0.5
hazards	for	1	1	1.0
for	pedestrians	1	3	0.3333333333333333
pedestrians	.	1	2	0.5
$	It	1	428	0.002336448598130841
It	can	1	1	1.0
also	limit	1	3	0.3333333333333333
limit	the	1	1	1.0
the	mobility	1	12	0.08333333333333333
mobility	of	1	1	1.0
of	individuals	1	8	0.125
individuals	with	1	1	1.0
with	disabilities	1	4	0.25
disabilities	or	1	1	1.0
or	those	1	4	0.25
those	who	1	1	1.0
who	may	1	2	0.5
may	have	1	12	0.08333333333333333
have	difficulty	1	4	0.25
difficulty	walking	1	1	1.0
walking	long	1	1	1.0
long	distances	1	2	0.5
distances	.	1	1	1.0
,	there	1	32	0.03125
there	may	1	2	0.5
may	be	1	12	0.08333333333333333
be	reasons	1	6	0.16666666666666666
reasons	why	1	1	1.0
why	a	1	1	1.0
a	university	1	36	0.027777777777777776
university	may	1	1	1.0
may	choose	1	12	0.08333333333333333
choose	to	1	1	1.0
to	prohibit	1	13	0.07692307692307693
prohibit	bicycles	1	1	1.0
bicycles	on	1	4	0.25
campus	.	1	3	0.3333333333333333
$	One	1	428	0.002336448598130841
One	reason	1	1	1.0
to	address	1	13	0.07692307692307693
address	safety	1	1	1.0
safety	concerns	1	2	0.5
concerns	,	1	1	1.0
as	accidents	1	5	0.2
accidents	involving	1	1	1.0
involving	bicycles	1	1	1.0
bicycles	and	1	4	0.25
and	pedestrians	1	18	0.05555555555555555
pedestrians	or	1	2	0.5
or	bicycle	1	4	0.25
bicycle	thefts	1	1	1.0
thefts	.	1	1	1.0
$	Another	1	428	0.002336448598130841
Another	reason	1	1	1.0
to	reduce	1	13	0.07692307692307693
reduce	the	1	1	1.0
the	environmental	1	12	0.08333333333333333
environmental	impact	1	1	1.0
impact	of	1	1	1.0
of	bicycles	1	8	0.125
bicycles	,	1	4	0.25
as	excessive	1	5	0.2
excessive	noise	1	1	1.0
noise	pollution	1	1	1.0
pollution	or	1	1	1.0
or	damage	1	4	0.25
damage	to	1	1	1.0
to	campus	1	13	0.07692307692307693
campus	green	1	3	0.3333333333333333
green	spaces	1	1	1.0
spaces	.	1	1	1.0
$	adjgsjgjdas	1	428	0.002336448598130841
adjgsjgjdas	#	1	1	1.0
$	repeat	1	428	0.002336448598130841
repeat	xd	1	2	0.5
$	""""	1	428	0.002336448598130841
""""	can	1	2	0.5
can	you	1	6	0.16666666666666666
you	repeat	1	1	1.0
repeat	the	1	2	0.5
the	audio	1	12	0.08333333333333333
audio	""""	1	1	1.0
""""	#	1	2	0.5
no	pau	1	20	0.05
pau	#	1	1	1.0
eso	no	1	5	0.2
no	es	1	20	0.05
es	#	1	4	0.25
$	weno	1	428	0.002336448598130841
weno	#	1	1	1.0
$	reading	1	428	0.002336448598130841
reading	#	1	1	1.0
2	.	1	8	0.125
$	3	1	428	0.002336448598130841
3	.	1	1	1.0
$	drama	1	428	0.002336448598130841
drama	movie	1	1	1.0
movie	#	1	1	1.0
$	4	1	428	0.002336448598130841
4	.	1	1	1.0
5	.	1	2	0.5
$	6	1	428	0.002336448598130841
6	.	1	1	1.0
$	---	1	428	0.002336448598130841
---	#	1	1	1.0
Bro	preguntale	1	3	0.3333333333333333
preguntale	a	1	1	1.0
mama	cuántas	1	3	0.3333333333333333
cuántas	galletas	1	1	1.0
galletas	y	1	1	1.0
y	cajas	1	14	0.07142857142857142
cajas	de	1	1	1.0
de	té	1	26	0.038461538461538464
té	quería	1	1	1.0
quería	#	1	1	1.0
$	Hola	1	428	0.002336448598130841
Hola	,	1	1	1.0
,	buenas	1	32	0.03125
buenas	tardes	1	1	1.0
tardes	.	1	1	1.0
$	Una	1	428	0.002336448598130841
Una	amiga	1	1	1.0
amiga	que	1	1	1.0
está	en	1	3	0.3333333333333333
en	ford	1	26	0.038461538461538464
ford	me	1	1	1.0
me	mandó	1	16	0.0625
mandó	la	1	1	1.0
la	siguiente	1	25	0.04
siguiente	convocatoria	1	1	1.0
convocatoria	.	1	1	1.0
Si	alguno	1	10	0.1
alguno	cumple	1	1	1.0
cumple	con	1	1	1.0
con	los	1	7	0.14285714285714285
los	requisitos	1	9	0.1111111111111111
requisitos	y	1	1	1.0
y	está	1	14	0.07142857142857142
está	interesado	1	3	0.3333333333333333
interesado	en	1	1	1.0
en	saber	1	26	0.038461538461538464
saber	más	1	1	1.0
más	no	1	3	0.3333333333333333
no	duden	1	20	0.05
duden	en	1	1	1.0
en	mandarle	1	26	0.038461538461538464
mandarle	un	1	1	1.0
un	correo	1	6	0.16666666666666666
correo	a	1	2	0.5
a	:	1	36	0.027777777777777776
:	acasta30@ford.com	1	15	0.06666666666666667
acasta30@ford.com	#	1	1	1.0
$	Avisarte	1	428	0.002336448598130841
Avisarte	de	1	1	1.0
que	mi	1	29	0.034482758620689655
mi	papá	1	9	0.1111111111111111
papá	ya	1	1	1.0
ya	se	1	9	0.1111111111111111
se	durmio	1	9	0.1111111111111111
durmio	#	1	1	1.0
$	Como	1	428	0.002336448598130841
Como	en	1	1	1.0
en	cuanto	1	26	0.038461538461538464
cuanto	llegas	1	1	1.0
$	Mamo	1	428	0.002336448598130841
Mamo	#	1	1	1.0
El	metro	1	2	0.5
metro	#	1	2	0.5
Ando	varado	1	4	0.25
varado	en	1	1	1.0
en	Rosario	1	26	0.038461538461538464
Rosario	#	1	1	1.0
me	voy	1	16	0.0625
voy	caminando	1	4	0.25
caminando	?	1	1	1.0
que	haré	1	29	0.034482758620689655
haré	eso	1	1	1.0
$	Creo	1	428	0.002336448598130841
Creo	que	1	1	1.0
que	tampoco	1	29	0.034482758620689655
tampoco	jala	1	1	1.0
jala	#	1	1	1.0
Ah	no	1	2	0.5
Ya	lao	1	26	0.038461538461538464
lao	#	1	1	1.0
$	Jalo	1	428	0.002336448598130841
Jalo	#	1	1	1.0
Voy	pa	1	4	0.25
pa	instituto	1	6	0.16666666666666666
instituto	#	1	1	1.0
Ya	llegue	1	26	0.038461538461538464
llegue	xd	1	1	1.0
A	insti	1	7	0.14285714285714285
insti	#	1	1	1.0
Ya	le	1	26	0.038461538461538464
le	dije	1	5	0.2
dije	#	1	1	1.0
Que	me	1	8	0.125
me	iba	1	16	0.0625
iba	a	1	1	1.0
a	encontrar	1	36	0.027777777777777776
encontrar	contigo	1	1	1.0
contigo	#	1	1	1.0
$	Oh	1	428	0.002336448598130841
Oh	shit	1	1	1.0
shit	#	1	1	1.0
Me	regreso	1	7	0.14285714285714285
regreso	solito	1	1	1.0
solito	?	1	1	1.0
$	🥺	1	428	0.002336448598130841
Bueno	#	1	2	0.5
Haber	que	1	2	0.5
que	hago	1	29	0.034482758620689655
hago	#	1	1	1.0
Se	#	1	2	0.5
$	puede	1	428	0.002336448598130841
puede	#	1	1	1.0
'	#	1	2	0.5
A	un	1	7	0.14285714285714285
un	formulario	1	6	0.16666666666666666
formulario	#	1	1	1.0
Y	el	1	7	0.14285714285714285
examen	pa	1	6	0.16666666666666666
pa	?	1	6	0.16666666666666666
$	Ontas	1	428	0.002336448598130841
Ontas	#	1	1	1.0
Smn	🥺	1	7	0.14285714285714285
$	Kpaso	1	428	0.002336448598130841
Kpaso	#	1	1	1.0
$	Subio	1	428	0.002336448598130841
Subio	2	1	1	1.0
$	asignaciones	1	428	0.002336448598130841
asignaciones	#	1	1	1.0
$	Pal	1	428	0.002336448598130841
Pal	17	1	1	1.0
17	nov	1	1	1.0
nov	#	1	1	1.0
$	See	1	428	0.002336448598130841
See	#	1	1	1.0
Que	más	1	8	0.125
más	reviso	1	3	0.3333333333333333
reviso	?	1	1	1.0
$	Yupi	1	428	0.002336448598130841
Yupi	#	1	1	1.0
$	Dale	1	428	0.002336448598130841
Dale	Ctr+f	1	1	1.0
Ctr+f	y	1	1	1.0
y	busca	1	14	0.07142857142857142
busca	rápido	1	1	1.0
rápido	ajsjai	1	1	1.0
ajsjai	#	1	1	1.0
O	pásame	1	2	0.5
pásame	tu	1	1	1.0
tu	boleta	1	6	0.16666666666666666
boleta	#	1	1	1.0
$	Ve	1	428	0.002336448598130841
Ve	checando	1	1	1.0
checando	como	1	1	1.0
como	abrir	1	2	0.5
abrir	tu	1	1	1.0
tu	cuenta	1	6	0.16666666666666666
cuenta	BBVA	1	2	0.5
BBVA	#	1	1	1.0
Ahí	dice	1	2	0.5
dice	institucional	1	2	0.5
institucional	xd	1	1	1.0
Pero	en	1	6	0.16666666666666666
en	tu	1	26	0.038461538461538464
tu	caso	1	6	0.16666666666666666
caso	,	1	3	0.3333333333333333
,	tienes	1	32	0.03125
tienes	como	1	2	0.5
como	15	1	2	0.5
15	días	1	1	1.0
días	para	1	1	1.0
para	meter	1	3	0.3333333333333333
meter	una	1	2	0.5
una	cuenta	1	5	0.2
cuenta	a	1	2	0.5
a	tu	1	36	0.027777777777777776
tu	#	1	6	0.16666666666666666
$	name	1	428	0.002336448598130841
name	#	1	1	1.0
$	Azi	1	428	0.002336448598130841
Azi	k	1	1	1.0
k	awas	1	1	1.0
awas	#	1	1	1.0
$	012	1	428	0.002336448598130841
012	180	1	1	1.0
180	01539568870	1	1	1.0
01539568870	#	1	1	1.0
$	0	1	428	0.002336448598130841
0	#	1	1	1.0
$	Bot	1	428	0.002336448598130841
Bot	#	1	1	1.0
$	K	1	428	0.002336448598130841
K	clase	1	1	1.0
clase	#	1	2	0.5
A	que	1	7	0.14285714285714285
que	correo	1	29	0.034482758620689655
correo	#	1	2	0.5
$	Asunto	1	428	0.002336448598130841
Asunto	?	1	1	1.0
$	seguro	1	428	0.002336448598130841
seguro	¿	1	1	1.0
$	asi	1	428	0.002336448598130841
asi	¿	1	2	0.5
$	lesto	1	428	0.002336448598130841
lesto	#	1	1	1.0
$	le	1	428	0.002336448598130841
le	digo	1	5	0.2
digo	a	1	2	0.5
mama	¿	1	3	0.3333333333333333
Nmms	se	1	4	0.25
se	los	1	9	0.1111111111111111
los	van	1	9	0.1111111111111111
a	quitar	1	36	0.027777777777777776
quitar	#	1	1	1.0
Le	vas	1	3	0.3333333333333333
a	prestar	1	36	0.027777777777777776
prestar	dinero	1	1	1.0
dinero	?	1	1	1.0
$	Huh	1	428	0.002336448598130841
Huh	#	1	1	1.0
Esta	bien	1	2	0.5
bien	jajaja	1	3	0.3333333333333333
Si	falta	1	10	0.1
falta	algo	1	3	0.3333333333333333
algo	te	1	1	1.0
te	transfiero	1	11	0.09090909090909091
transfiero	#	1	1	1.0
$	Con	1	428	0.002336448598130841
Con	cuidado	1	1	1.0
cuidado	#	1	1	1.0
Smn	ya	1	7	0.14285714285714285
ya	la	1	9	0.1111111111111111
la	vi	1	25	0.04
vi	jajaja	1	2	0.5
Ya	vas	1	26	0.038461538461538464
vas	pa	1	5	0.2
pa	casa	1	6	0.16666666666666666
Kevin	?	1	3	0.3333333333333333
$	Pd	1	428	0.002336448598130841
Pd	#	1	1	1.0
$	Vavava	1	428	0.002336448598130841
Vavava	#	1	1	1.0
Me	avisas	1	7	0.14285714285714285
avisas	cuando	1	1	1.0
cuando	salgas	1	4	0.25
salgas	a	1	1	1.0
a	casa	1	36	0.027777777777777776
Kevin	#	1	3	0.3333333333333333
Le	digo	1	3	0.3333333333333333
digo	#	1	2	0.5
$	4152	1	428	0.002336448598130841
4152	3140	1	1	1.0
3140	2910	1	1	1.0
2910	3929	1	1	1.0
3929	#	1	1	1.0
$	Tiene	1	428	0.002336448598130841
Tiene	desde	1	1	1.0
desde	las	1	2	0.5
las	3:15	1	6	0.16666666666666666
3:15	que	1	1	1.0
que	entro	1	29	0.034482758620689655
entro	#	1	1	1.0
$	Ghhh	1	428	0.002336448598130841
Ghhh	#	1	1	1.0
Te	faltó	1	3	0.3333333333333333
faltó	el	1	1	1.0
el	cambio	1	26	0.038461538461538464
cambio	ghhh	1	1	1.0
ghhh	#	1	1	1.0
Recibido	msg	1	2	0.5
msg	fuerte	1	2	0.5
fuerte	y	1	1	1.0
En	30	1	4	0.25
30	min	1	1	1.0
min	#	1	1	1.0
$	Hgg	1	428	0.002336448598130841
Hgg	#	1	1	1.0
$	Andas	1	428	0.002336448598130841
Andas	en	1	1	1.0
la	house	1	25	0.04
house	?	1	1	1.0
$	Oshit	1	428	0.002336448598130841
Oshit	#	1	1	1.0
ando	saliendo	1	6	0.16666666666666666
saliendo	#	1	1	1.0
Ya	llegué	1	26	0.038461538461538464
llegué	#	1	3	0.3333333333333333
Ya	salisteis	1	26	0.038461538461538464
salisteis	?	1	1	1.0
$	Cuánto	1	428	0.002336448598130841
Cuánto	se	1	1	1.0
se	tardan	1	9	0.1111111111111111
tardan	?	1	1	1.0
Y	ahora	1	7	0.14285714285714285
Recibido	comando	1	2	0.5
comando	#	1	1	1.0
No	están	1	16	0.0625
están	mis	1	2	0.5
mis	jefes	1	2	0.5
jefes	#	1	2	0.5
$	Salieron	1	428	0.002336448598130841
Salieron	#	1	1	1.0
me	dijeron	1	16	0.0625
dijeron	#	1	1	1.0
$	Les	1	428	0.002336448598130841
Les	marcó	1	1	1.0
marcó	?	1	1	1.0
$	Aki	1	428	0.002336448598130841
Aki	ando	1	1	1.0
ando	jajaja	1	6	0.16666666666666666
$	Jajaa	1	428	0.002336448598130841
Jajaa	#	1	1	1.0
me	pasaron	1	16	0.0625
pasaron	el	1	1	1.0
el	exámen	1	26	0.038461538461538464
exámen	#	1	1	1.0
Pero	son	1	6	0.16666666666666666
son	2	1	1	1.0
2	tipos	1	8	0.125
tipos	entonces	1	1	1.0
entonces	no	1	1	1.0
no	se	1	20	0.05
se	si	1	9	0.1111111111111111
si	hacer	1	10	0.1
hacer	los	1	4	0.25
los	2	1	9	0.1111111111111111
Voy	#	1	4	0.25
$	Para	1	428	0.002336448598130841
Para	que	1	1	1.0
Esa	la	1	2	0.5
la	puedo	1	25	0.04
puedo	sacar	1	1	1.0
sacar	desde	1	1	1.0
desde	el	1	2	0.5
el	saes	1	26	0.038461538461538464
saes	#	1	1	1.0
Si	vamos	1	10	0.1
vamos	a	1	1	1.0
a	ir	1	36	0.027777777777777776
ir	a	1	2	0.5
a	donar	1	36	0.027777777777777776
donar	?	1	1	1.0
Puedes	imprimir	1	2	0.5
imprimir	mi	1	1	1.0
mi	comprobante	1	9	0.1111111111111111
comprobante	?	1	1	1.0
Yo	la	1	4	0.25
la	tengo	1	25	0.04
tengo	#	1	3	0.3333333333333333
Te	veo	1	3	0.3333333333333333
veo	en	1	2	0.5
la	raza	1	25	0.04
raza	de	1	1	1.0
de	color	1	26	0.038461538461538464
color	verde	1	1	1.0
verde	o	1	1	1.0
o	amarillo	1	4	0.25
amarillo	?	1	1	1.0
En	20	1	4	0.25
20	#	1	1	1.0
Que	paso	1	8	0.125
paso	#	1	1	1.0
Ando	en	1	4	0.25
el	transborde	1	26	0.038461538461538464
transborde	#	1	1	1.0
Deja	lo	1	2	0.5
lo	cruzo	1	7	0.14285714285714285
cruzo	#	1	1	1.0
$	Están	1	428	0.002336448598130841
Están	en	1	1	1.0
en	dirección	1	26	0.038461538461538464
dirección	indios	1	2	0.5
indios	verdes	1	1	1.0
verdes	?	1	1	1.0
No	los	1	16	0.0625
los	veo	1	9	0.1111111111111111
veo	#	1	2	0.5
Estas	afuera	1	2	0.5
afuera	?	1	1	1.0
Si	salgo	1	10	0.1
salgo	antes	1	2	0.5
antes	les	1	2	0.5
les	aviso	1	1	1.0
aviso	#	1	1	1.0
$	Salí	1	428	0.002336448598130841
Salí	del	1	1	1.0
del	examen	1	8	0.125
Ahorita	voy	1	2	0.5
ver	a	1	3	0.3333333333333333
mi	profa	1	9	0.1111111111111111
profa	de	1	1	1.0
la	1:30	1	25	0.04
1:30	pa	1	1	1.0
pa	ver	1	6	0.16666666666666666
ver	si	1	3	0.3333333333333333
si	me	1	10	0.1
me	deja	1	16	0.0625
deja	salir	1	3	0.3333333333333333
salir	antes	1	1	1.0
antes	#	1	2	0.5
$	Sigo	1	428	0.002336448598130841
Sigo	en	1	1	1.0
me	dieron	1	16	0.0625
dieron	permiso	1	2	0.5
permiso	#	1	1	1.0
$	Llegó	1	428	0.002336448598130841
Llegó	normal	1	1	1.0
normal	#	1	1	1.0
La	estoy	1	2	0.5
estoy	buscando	1	2	0.5
buscando	#	1	1	1.0
$	Ahi	1	428	0.002336448598130841
Ahi	tienes	1	1	1.0
tienes	papu	1	2	0.5
$	Avisa	1	428	0.002336448598130841
Avisa	cuando	1	1	1.0
cuando	salgan	1	4	0.25
salgan	papu	1	1	1.0
No	ha	1	16	0.0625
ha	entrado	1	1	1.0
entrado	mom	1	1	1.0
mom	?	1	1	1.0
Ya	lo	1	26	0.038461538461538464
lo	tenía	1	7	0.14285714285714285
tenía	en	1	2	0.5
el	casco	1	26	0.038461538461538464
casco	#	1	1	1.0
Lo	van	1	2	0.5
a	meter	1	36	0.027777777777777776
meter	a	1	2	0.5
a	Zacatenco	1	36	0.027777777777777776
Zacatenco	ahora	1	1	1.0
Pero	aún	1	6	0.16666666666666666
aún	así	1	2	0.5
así	siguen	1	1	1.0
siguen	cobrando	1	1	1.0
cobrando	el	1	1	1.0
examen	a	1	6	0.16666666666666666
a	nosotros	1	36	0.027777777777777776
nosotros	#	1	2	0.5
Pero	estaba	1	6	0.16666666666666666
estaba	más	1	1	1.0
más	chido	1	3	0.3333333333333333
chido	el	1	1	1.0
el	cambrige	1	26	0.038461538461538464
cambrige	#	1	1	1.0
$	Not	1	428	0.002336448598130841
Not	working	1	1	1.0
working	#	1	1	1.0
Mis	jefes	1	2	0.5
jefes	aún	1	2	0.5
aún	no	1	2	0.5
no	llegan	1	20	0.05
llegan	xd	1	1	1.0
$	Beno	1	428	0.002336448598130841
Beno	#	1	1	1.0
Que	ya	1	8	0.125
ya	vienen	1	9	0.1111111111111111
vienen	llegando	1	1	1.0
Le	dices	1	3	0.3333333333333333
dices	a	1	1	1.0
que	ya	1	29	0.034482758620689655
ya	llegué	1	9	0.1111111111111111
llegué	cuando	1	3	0.3333333333333333
cuando	puedas	1	4	0.25
puedas	#	1	1	1.0
Que	tal	1	8	0.125
tal	salió	1	1	1.0
salió	?	1	1	1.0
$	Awebo	1	428	0.002336448598130841
Awebo	#	1	1	1.0
hay	otro	1	6	0.16666666666666666
otro	bro	1	2	0.5
bro	#	1	1	1.0
Esta	muy	1	2	0.5
muy	bien	1	1	1.0
vas	#	1	5	0.2
$	los	1	428	0.002336448598130841
los	sabados	1	9	0.1111111111111111
sabados	#	1	1	1.0
Y	te	1	7	0.14285714285714285
te	da	1	11	0.09090909090909091
da	chance	1	1	1.0
chance	de	1	3	0.3333333333333333
de	ir	1	26	0.038461538461538464
ir	al	1	2	0.5
al	gym	1	5	0.2
gym	#	1	1	1.0
No	era	1	16	0.0625
era	de	1	3	0.3333333333333333
de	auxiliar	1	26	0.038461538461538464
auxiliar	de	1	1	1.0
de	producción	1	26	0.038461538461538464
producción	?	1	1	1.0
Tu	solo	1	2	0.5
solo	?	1	3	0.3333333333333333
?	?	1	55	0.01818181818181818
si	lo	1	10	0.1
lo	vas	1	7	0.14285714285714285
a	agarrar	1	36	0.027777777777777776
agarrar	?	1	1	1.0
Ahí	mi	1	2	0.5
mi	jefe	1	9	0.1111111111111111
jefe	que	1	1	1.0
que	te	1	29	0.034482758620689655
te	diga	1	11	0.09090909090909091
diga	cómo	1	1	1.0
cómo	hacerle	1	1	1.0
hacerle	xd	1	1	1.0
Bro	estás	1	3	0.3333333333333333
Puedes	encender	1	2	0.5
encender	mi	1	1	1.0
mi	lap	1	9	0.1111111111111111
lap	y	1	1	1.0
y	meterte	1	14	0.07142857142857142
meterte	a	1	1	1.0
a	word	1	36	0.027777777777777776
word	?	1	1	1.0
Que	se	1	8	0.125
se	actualice	1	9	0.1111111111111111
